Año;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50 y más;Sin información
 2.010 ; - ; 7 ; 59 ; 375 ; 1.682 ; 4.743 ; 8.944 ; 13.032 ; 15.548 ; 17.015 ; 17.934 ; 16.666 ; 17.139 ; 16.244 ; 15.669 ; 14.797 ; 13.378 ; 13.215 ; 13.212 ; 12.421 ; 12.229 ; 9.398 ; 9.067 ; 8.086 ; 6.757 ; 6.181 ; 5.116 ; 4.357 ; 3.953 ; 3.355 ; 2.605 ; 1.567 ; 1.381 ; 790 ; 514 ; 349 ; 185 ; 95 ; 94 ; 111 ; - ; 4.105 
 2.011 ; - ; 13 ; 40 ; 374 ; 1.744 ; 4.790 ; 9.087 ; 13.229 ; 16.212 ; 17.013 ; 18.279 ; 17.282 ; 17.046 ; 16.771 ; 16.059 ; 15.148 ; 14.795 ; 13.230 ; 13.340 ; 12.600 ; 12.373 ; 10.357 ; 9.622 ; 8.420 ; 7.069 ; 6.353 ; 5.449 ; 4.698 ; 4.176 ; 3.279 ; 2.592 ; 1.711 ; 1.346 ; 895 ; 555 ; 336 ; 178 ; 89 ; 56 ; 90 ; - ; 4.410 
 2.012 ; - ; 11 ; 95 ; 416 ; 1.872 ; 5.030 ; 9.244 ; 13.446 ; 15.739 ; 17.646 ; 17.382 ; 16.916 ; 16.665 ; 16.175 ; 15.360 ; 14.467 ; 14.152 ; 13.720 ; 12.736 ; 12.222 ; 11.934 ; 10.548 ; 9.806 ; 8.558 ; 7.345 ; 6.363 ; 5.521 ; 4.808 ; 4.103 ; 3.307 ; 2.621 ; 1.731 ; 1.303 ; 839 ; 494 ; 285 ; 164 ; 89 ; 68 ; 92 ; - ; 4.036 
 2.013 ; - ; 6 ; 60 ; 376 ; 1.525 ; 4.265 ; 8.006 ; 11.597 ; 13.772 ; 16.114 ; 16.826 ; 16.001 ; 15.187 ; 14.403 ; 13.990 ; 13.661 ; 13.201 ; 12.910 ; 12.549 ; 11.357 ; 11.111 ; 10.198 ; 9.568 ; 8.582 ; 7.321 ; 6.595 ; 5.584 ; 4.610 ; 3.985 ; 3.174 ; 2.603 ; 1.923 ; 1.410 ; 950 ; 563 ; 303 ; 178 ; 106 ; 82 ; 80 ; - ; 2.888 
 2.014 ; - ; 13 ; 58 ; 383 ; 1.705 ; 4.324 ; 7.765 ; 11.712 ; 14.287 ; 15.881 ; 16.210 ; 16.130 ; 14.983 ; 14.253 ; 13.864 ; 13.664 ; 13.527 ; 12.757 ; 12.228 ; 12.068 ; 11.066 ; 10.296 ; 9.769 ; 8.776 ; 7.934 ; 7.231 ; 6.234 ; 4.993 ; 4.277 ; 3.408 ; 2.679 ; 2.030 ; 1.435 ; 940 ; 618 ; 335 ; 176 ; 85 ; 70 ; 48 ; - ; 248 
 2.015 ; 1 ; 12 ; 79 ; 443 ; 1.901 ; 5.215 ; 9.199 ; 12.077 ; 14.907 ; 16.351 ; 16.129 ; 15.545 ; 15.280 ; 14.295 ; 13.858 ; 13.575 ; 13.400 ; 12.876 ; 12.697 ; 11.972 ; 11.408 ; 10.133 ; 9.522 ; 8.655 ; 7.813 ; 7.048 ; 6.068 ; 4.969 ; 4.102 ; 3.124 ; 2.530 ; 1.875 ; 1.277 ; 771 ; 493 ; 247 ; 140 ; 65 ; 58 ; 37 ; - ; 3.166 
 2.016 ; - ; 24 ; 72 ; 456 ; 1.639 ; 4.620 ; 8.772 ; 11.137 ; 13.290 ; 15.351 ; 15.280 ; 14.936 ; 14.738 ; 14.287 ; 13.700 ; 13.239 ; 12.895 ; 12.736 ; 12.378 ; 11.925 ; 11.250 ; 10.587 ; 9.268 ; 8.730 ; 7.707 ; 7.049 ; 6.168 ; 5.027 ; 4.060 ; 3.280 ; 2.571 ; 1.831 ; 1.279 ; 772 ; 466 ; 241 ; 138 ; 48 ; 52 ; 33 ; - ; 5.451 
 2.017 ; 2 ; 9 ; 91 ; 415 ; 1.781 ; 4.623 ; 8.710 ; 12.164 ; 13.949 ; 15.269 ; 16.430 ; 15.938 ; 15.894 ; 15.356 ; 14.998 ; 14.635 ; 14.123 ; 13.613 ; 13.290 ; 12.813 ; 12.116 ; 11.100 ; 10.275 ; 9.031 ; 8.120 ; 7.371 ; 6.360 ; 5.376 ; 4.464 ; 3.615 ; 2.684 ; 1.882 ; 1.274 ; 809 ; 428 ; 253 ; 145 ; 53 ; 33 ; 29 ; 15 ; 1.861 
 2.018 ; 6 ; 11 ; 61 ; 421 ; 1.600 ; 4.462 ; 8.148 ; 11.604 ; 14.660 ; 15.294 ; 15.392 ; 15.989 ; 15.551 ; 15.493 ; 15.241 ; 15.020 ; 14.380 ; 13.885 ; 13.197 ; 12.857 ; 12.126 ; 10.981 ; 10.184 ; 9.228 ; 7.921 ; 7.331 ; 6.444 ; 5.534 ; 4.514 ; 3.688 ; 2.778 ; 1.894 ; 1.293 ; 759 ; 456 ; 251 ; 115 ; 65 ; 24 ; 22 ; 35 ; 5.065 
 2.019 ; 1 ; 6 ; 59 ; 362 ; 1.391 ; 3.813 ; 7.466 ; 10.493 ; 13.009 ; 15.211 ; 14.738 ; 14.556 ; 15.112 ; 14.796 ; 14.862 ; 14.736 ; 14.260 ; 13.680 ; 13.078 ; 12.260 ; 11.886 ; 10.968 ; 10.011 ; 8.998 ; 8.298 ; 7.107 ; 6.407 ; 5.438 ; 4.615 ; 3.929 ; 2.808 ; 1.937 ; 1.320 ; 775 ; 444 ; 242 ; 114 ; 51 ; 19 ; 15 ; 18 ; 6.924 
 2.020 ; 4 ; 10 ; 43 ; 342 ; 1.254 ; 3.302 ; 6.348 ; 8.876 ; 11.452 ; 13.641 ; 14.608 ; 13.822 ; 13.341 ; 13.753 ; 13.213 ; 13.420 ; 13.330 ; 13.258 ; 12.174 ; 11.725 ; 11.025 ; 10.665 ; 9.465 ; 8.646 ; 7.681 ; 7.011 ; 5.759 ; 5.095 ; 4.304 ; 3.459 ; 2.718 ; 1.888 ; 1.257 ; 759 ; 401 ; 215 ; 112 ; 46 ; 23 ; 21 ; 18 ; 8.435 
 2.021 ; 1 ; 9 ; 68 ; 379 ; 1.386 ; 3.384 ; 5.881 ; 7.990 ; 10.054 ; 12.177 ; 13.213 ; 13.700 ; 12.834 ; 12.424 ; 13.092 ; 12.822 ; 13.074 ; 13.038 ; 12.307 ; 11.622 ; 11.035 ; 10.153 ; 9.455 ; 8.694 ; 7.591 ; 6.787 ; 6.204 ; 4.952 ; 4.373 ; 3.475 ; 2.715 ; 2.025 ; 1.308 ; 815 ; 491 ; 248 ; 100 ; 43 ; 18 ; 18 ; 18 ; 1.133 
